kind,etag,id,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic,nextPageToken,totalResults,resultsPerPage,param_part,param_videoId,param_maxResults,param_pageToken,queryTime
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",Ugw8y3uuvRbRUSnu0d94AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/s3KDkimfpPuIHuQRbU9z591ZdXk""",Ugw8y3uuvRbRUSnu0d94AaABAg,GABRIEL NOCETTI,https://yt3.ggpht.com/a/AGF-l787aIzktS1D7dfVq33r7tj_MfgKc6SVpqlESg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCVofxv0kjGJxPZGeAH_ElgQ,UCVofxv0kjGJxPZGeAH_ElgQ,kJQP7kiw5Fk,LIKE SI LO ESTAS VIENDO EN 2020,LIKE SI LO ESTAS VIENDO EN 2020,True,none,1,2020-02-04 11:44:10+00:00,2020-02-04 11:44:10+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",UgzGu1lVWceGsD3NYZF4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/YHlOZGw0wxYBtThNdbtfsBm6IFE""",UgzGu1lVWceGsD3NYZF4AaABAg,Ahmad Bakbak,https://yt3.ggpht.com/a/AGF-l7_jRPRhaO-QYlTVR6k4M_0fPwi_PUQwI7DlkA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC8v__AK8FCwZ9s5_5J3AXgA,UC8v__AK8FCwZ9s5_5J3AXgA,kJQP7kiw5Fk,"<a href=""http://www.youtube.com/results?search_query=%23idlib"">#idlib</a>",#idlib,True,none,0,2020-02-04 11:44:09+00:00,2020-02-04 11:44:09+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",UgyBSfLxTyhfX1c8tcB4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/kOFq2LYs_ibnbyzn9alJdGER5KA""",UgyBSfLxTyhfX1c8tcB4AaABAg,Lyudmila Dzyuman,https://yt3.ggpht.com/a/AGF-l79ql8cUcJRLRXT67Qldx77IQt0JK_KKtJPl3A=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCpqU5eyojLtag8rXXlpNFkA,UCpqU5eyojLtag8rXXlpNFkA,kJQP7kiw5Fk,I&#39;m a cop sometimes,I'm a cop sometimes,True,none,0,2020-02-04 11:43:44+00:00,2020-02-04 11:43:44+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",UgxdA7PqV4FHIvH4GXx4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/DOMNE9sgrg-8a1t_IM0ZGdRpwyY""",UgxdA7PqV4FHIvH4GXx4AaABAg,Lyudmila Dzyuman,https://yt3.ggpht.com/a/AGF-l79ql8cUcJRLRXT67Qldx77IQt0JK_KKtJPl3A=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCpqU5eyojLtag8rXXlpNFkA,UCpqU5eyojLtag8rXXlpNFkA,kJQP7kiw5Fk,Cut,Cut,True,none,0,2020-02-04 11:43:23+00:00,2020-02-04 11:43:23+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",UgwYijma3F406cfPVex4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JfSCuLY9BbOZeUqeC5x4CcwR_A8""",UgwYijma3F406cfPVex4AaABAg,Heena Singh,https://yt3.ggpht.com/a/AGF-l78FdnN8FKRiwTZdyNNydBlMaveg_f1e3HHTrg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCJyf-xAoRQDxvEzWIQADwMg,UCJyf-xAoRQDxvEzWIQADwMg,kJQP7kiw5Fk,Niece song,Niece song,True,none,1,2020-02-04 11:40:12+00:00,2020-02-04 11:40:12+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",Ugxdu2Wek6M-53wBnvl4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nRcQ4UKEACvOqatQWJhjy7j9Y0k""",Ugxdu2Wek6M-53wBnvl4AaABAg,Rushi.,https://yt3.ggpht.com/a/AGF-l7-_zsNTf7P40r0iI6KxhjsRf1wreWnXFtn_xw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCFzJ8ea83f7mdC8Fz78Zsiw,UCFzJ8ea83f7mdC8Fz78Zsiw,kJQP7kiw5Fk,"Video start at <a href=""https://www.youtube.com/watch?v=kJQP7kiw5Fk&amp;t=0m30s"">0:30</a> <br />This is new😃😅😅😃😅😃😅😃😂😀🤣😀😭🤣😃😂😄😅😅😃😃😂😂😀🤣😀🤣😃😃😅😃😅😀😆😀😆😀😆😃😆😃😅😅😃😂😂😀😂😃😂😄😅😄😅😃😃😂","Video start at 0:30 
This is new😃😅😅😃😅😃😅😃😂😀🤣😀😭🤣😃😂😄😅😅😃😃😂😂😀🤣😀🤣😃😃😅😃😅😀😆😀😆😀😆😃😆😃😅😅😃😂😂😀😂😃😂😄😅😄😅😃😃😂",True,none,1,2020-02-04 11:34:19+00:00,2020-02-04 11:34:46+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",UgwJdPaN_ZDix-xtu4R4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/Glwk6WyIeJZs7Ol3ZViHVjQO0us""",UgwJdPaN_ZDix-xtu4R4AaABAg,Xqf Paraboy Ka Tauji,https://yt3.ggpht.com/a/AGF-l7_1DDKSmMFBgphCgpMUfBRhnkT1ySywK_COhQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCwvqKypfVNGsPOI-2P1M2NA,UCwvqKypfVNGsPOI-2P1M2NA,kJQP7kiw5Fk,Is that only me who never tried to get the meaning of this song?,Is that only me who never tried to get the meaning of this song?,True,none,0,2020-02-04 11:33:54+00:00,2020-02-04 11:33:54+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",Ugxnx5l_OsGnljeUqt54AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/TDn6zzRfDsfJrz4BIJLtMyFF2IA""",Ugxnx5l_OsGnljeUqt54AaABAg,Carlos Bensona,https://yt3.ggpht.com/a/AGF-l7_LkCkwwkX69NfaCGuH5p3kYDzp14fJ4Qw9_g=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC7SWumjaEzYEBRth7P0FnKQ,UC7SWumjaEzYEBRth7P0FnKQ,kJQP7kiw5Fk,2<br />     0<br />          2<br />               0,"2
     0
          2
               0",True,none,1,2020-02-04 11:31:32+00:00,2020-02-04 11:31:32+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",UgzaAUlude8NSrGNyTh4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/qiD2eVwl66bi7wEan3dOANbM6l8""",UgzaAUlude8NSrGNyTh4AaABAg,daniel Daniel,https://yt3.ggpht.com/a/AGF-l78Z694pW6gxIzO9wfr-aynIDMc17aRd6Yen7w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCPJCLWp9Nsvw-yA0AqcOALA,UCPJCLWp9Nsvw-yA0AqcOALA,kJQP7kiw5Fk,Im in a new planet everytime i listen to this song.. Planet despacito,Im in a new planet everytime i listen to this song.. Planet despacito,True,none,0,2020-02-04 11:30:10+00:00,2020-02-04 11:30:10+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
youtube#commentThreadListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/XZE18CFjaNOmZtD0c7MyLxdek5Q""",UgxSCLFsAJ2DXDIcIip4AaABAg,kJQP7kiw5Fk,youtube#comment,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/GH8VSP08qnisyI-5ROAE7dPzPm4""",UgxSCLFsAJ2DXDIcIip4AaABAg,arbaaz mushahid,https://yt3.ggpht.com/a/AGF-l7-mG7BepZqHYBPPTdOMXu7_Ejt6tM6jwOiuww=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCi9Js4NY1BSS3vo7NS-ldhQ,UCi9Js4NY1BSS3vo7NS-ldhQ,kJQP7kiw5Fk,<b>Teacher</b> : What is the population of the world<br /><b>Me</b> : Around Despacito,"*Teacher* : What is the population of the world
*Me* : Around Despacito",True,none,1,2020-02-04 11:28:38+00:00,2020-02-04 11:28:38+00:00,True,0,True,QURTSl9pMks5dW1xM0pqMy1mTnlaS3YxcGFjdGo5TGhNaEpkSlI5UkNKRXBLRXE0TUFGNlVmdEVWUFhYZzNGdzlDWllSZjJ6bkN2R3hPSVRfemdBTVdhTVlDMElLbVY5ZkMwSlpwSWdMeFM3Wk1TSHczQ1lRREljQUxkNUp1VmFObkk=,100,100,snippet,kJQP7kiw5Fk,100,,2020-02-04 11:45:31.594283+00:00
