kind,etag,id,snippet.publishedAt,snippet.title,snippet.description,snippet.resourceId.kind,snippet.resourceId.channelId,snippet.channelId,snippet.thumbnails.default.url,snippet.thumbnails.medium.url,snippet.thumbnails.high.url,contentDetails.totalItemCount,contentDetails.newItemCount,contentDetails.activityType,subscriberSnippet.title,subscriberSnippet.description,subscriberSnippet.channelId,subscriberSnippet.thumbnails.default.url,subscriberSnippet.thumbnails.medium.url,subscriberSnippet.thumbnails.high.url,nextPageToken,totalResults,resultsPerPage,param_part,param_channelId,param_maxResults,param_pageToken,queryTime,prevPageToken
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzak4uauq6L9O-dgn-ZwtWFsoY,2015-04-07 17:01:02+00:00,SecainaHudsonVEVO,,youtube#channel,UCc0WOoNcY0BBiK-e_TL3Y4A,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-14Im6XfWTgQ/AAAAAAAAAAI/AAAAAAAAAAA/9XslSgmmWCc/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-14Im6XfWTgQ/AAAAAAAAAAI/AAAAAAAAAAA/9XslSgmmWCc/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-14Im6XfWTgQ/AAAAAAAAAAI/AAAAAAAAAAA/9XslSgmmWCc/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,8,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzakye8pfRRn_cDHD0EklrMy7A,2018-04-12 23:17:40.998000+00:00,AvrilLavigneVEVO,"Avril Lavigne on Vevo - Official Music Videos, Live Performances, Interviews and more...",youtube#channel,UCC6XuDtfec7DxZdUa7ClFBQ,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-2ncBsq-Zvuw/AAAAAAAAAAI/AAAAAAAAAAA/z3TbPc5BZ2M/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-2ncBsq-Zvuw/AAAAAAAAAAI/AAAAAAAAAAA/z3TbPc5BZ2M/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-2ncBsq-Zvuw/AAAAAAAAAAI/AAAAAAAAAAA/z3TbPc5BZ2M/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,94,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzak_vPDfjTA-hLDo-yWS9dUSo,2018-04-24 23:25:30.496000+00:00,Owl City,"New album and tour on sale now!

With humble small town beginnings in Owatonna, MN, Owl City (aka Adam Young) remains an avant-garde hitmaker in his own right. With total album sales over 3 million and single sales surpassing 20 million globally, his smash “Fireflies” from 2009’s Ocean Eyes received a five-times RIAA platinum certification in addition to going No. 1 in 26 countries. His popular hit “Good Time feat. Carly Rae Jepsen” went Top 4 in the U.S. and racked up sales of close to 3 million.

Following the release of 2015’s Mobile Orchestra, which saw him team up with Aloe Blacc, Hanson and Jake Owen, to name a few, Adam Young took a year to work on his eponymously named side project and begin to lay the groundwork for Cinematic – Owl City’s 2018 offering and first independent album.

Rolling out in a trio of EPs – dubbed “Reels” –the 18-track album Cinematic album is slated for release on June 1, 2018.",youtube#channel,UCyo4FFY5_6v_ZzPl-Fq6FZw,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-ekjMhJVfTuQ/AAAAAAAAAAI/AAAAAAAAAAA/A62EQq0fxE8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-ekjMhJVfTuQ/AAAAAAAAAAI/AAAAAAAAAAA/A62EQq0fxE8/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-ekjMhJVfTuQ/AAAAAAAAAAI/AAAAAAAAAAA/A62EQq0fxE8/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,37,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzak-mok5LD2LpmkBE2H75x_os,2019-10-09 23:57:26.551000+00:00,Charles Hamilton,"Charles Hamilton
Markus Kendall Allen
 
Your favorite throwback Charles Hamilton songs paired together with fresh new music from the artist himself.",youtube#channel,UCEHZyqE0N-5iCeVRO1S_XxA,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-I8cgvM_JjSI/AAAAAAAAAAI/AAAAAAAAAAA/FZlQneo_EnU/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-I8cgvM_JjSI/AAAAAAAAAAI/AAAAAAAAAAA/FZlQneo_EnU/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-I8cgvM_JjSI/AAAAAAAAAAI/AAAAAAAAAAA/FZlQneo_EnU/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,287,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzakwc-DloTPrJ1Omezsw8QC7E,2018-04-04 13:45:52.490000+00:00,CalvinHarrisVEVO,"Calvin Harris on Vevo - Official Music Videos, Live Performances, Interviews and more...",youtube#channel,UCaHNFIob5Ixv74f5on3lvIw,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-m7gljfTYh_s/AAAAAAAAAAI/AAAAAAAAAAA/iBygGTm9v1k/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-m7gljfTYh_s/AAAAAAAAAAI/AAAAAAAAAAA/iBygGTm9v1k/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-m7gljfTYh_s/AAAAAAAAAAI/AAAAAAAAAAA/iBygGTm9v1k/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,130,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzak4DwbSGwYdMpS6I-3Yj2yYw,2018-04-26 23:05:21.993000+00:00,Hot Chelle Rae,"""I HATE LA"" OUT NOW",youtube#channel,UCCThjIt22IhcAjnQUkbEYtQ,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-PewvIx5yGmg/AAAAAAAAAAI/AAAAAAAAAAA/9BCKNonp-Ng/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-PewvIx5yGmg/AAAAAAAAAAI/AAAAAAAAAAA/9BCKNonp-Ng/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-PewvIx5yGmg/AAAAAAAAAAI/AAAAAAAAAAA/9BCKNonp-Ng/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,14,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzakzwBYfm-MJOWhLBDKKlG5vs,2018-04-16 00:12:45.309000+00:00,JessieJVEVO,"Jessie J on Vevo - Official Music Videos, Live Performances, Interviews and more...",youtube#channel,UCGej5zp_KWZ-b_1w4Rq2hyA,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-t1mM_mr1hlg/AAAAAAAAAAI/AAAAAAAAAAA/PVngfqDQcSY/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-t1mM_mr1hlg/AAAAAAAAAAI/AAAAAAAAAAA/PVngfqDQcSY/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-t1mM_mr1hlg/AAAAAAAAAAI/AAAAAAAAAAA/PVngfqDQcSY/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,77,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzak09b0B3_iadfx1AQnEdGNzA,2019-07-23 23:44:44.368000+00:00,AquaVEVO,"Aqua on Vevo - Official Music Videos, Live Performances, Interviews and more...",youtube#channel,UCCiijV9YJmUtKSXOcxMqc_g,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-IUU_1P8ruVw/AAAAAAAAAAI/AAAAAAAAAAA/HVTbp5GcRrE/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-IUU_1P8ruVw/AAAAAAAAAAI/AAAAAAAAAAA/HVTbp5GcRrE/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-IUU_1P8ruVw/AAAAAAAAAAI/AAAAAAAAAAA/HVTbp5GcRrE/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,16,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzak4J3pJlYGmHQj62etSSyWP8,2018-04-19 23:42:01.645000+00:00,John Mayer,,youtube#channel,UCi1mYtUWs0JRkPl6bNVRL_Q,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-ptqur98OYRk/AAAAAAAAAAI/AAAAAAAAAAA/cDNiAltDXBs/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-ptqur98OYRk/AAAAAAAAAAI/AAAAAAAAAAA/cDNiAltDXBs/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-ptqur98OYRk/AAAAAAAAAAI/AAAAAAAAAAA/cDNiAltDXBs/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,84,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
youtube#subscriptionListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/nfAiDkhyB3khy_rESI1o9MyVC9c""",XE1MywfUy41RTGswbSzakzrckwmbn87_DtohDM-uFI8,2012-07-30 21:54:01+00:00,DriickyGrahamVEVO,,youtube#channel,UCndq6-YjgK57g8EmaHwR2hw,UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-M00DjHeVCE8/AAAAAAAAAAI/AAAAAAAAAAA/C3aOWEh7bVA/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-M00DjHeVCE8/AAAAAAAAAAI/AAAAAAAAAAA/C3aOWEh7bVA/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-M00DjHeVCE8/AAAAAAAAAAI/AAAAAAAAAAA/C3aOWEh7bVA/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,3,0,all,Vevo,"Vevo on YouTube - Official Music Videos, Live Performances, Interviews and more...",UC2pmfLm7iq6Ov1UwYrWYkZA,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,https://yt3.ggpht.com/-hmxOepMtptM/AAAAAAAAAAI/AAAAAAAAAAA/nzePQZGAM2Y/s800-c-k-no-mo-rj-c0xffffff/photo.jpg,CDIQAA,543,50,"snippet,subscriberSnippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:45:36.765505+00:00,
