kind,etag,id,snippet.channelId,snippet.title,snippet.assignable,param_part,param_regionCode,param_hl,param_maxResults,param_pageToken,queryTime
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",1,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",2,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",10,UCBR8-60-B28hp2BmDPdntcQ,Music,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",15,UCBR8-60-B28hp2BmDPdntcQ,Pets & Animals,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",17,UCBR8-60-B28hp2BmDPdntcQ,Sports,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",18,UCBR8-60-B28hp2BmDPdntcQ,Short Movies,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",19,UCBR8-60-B28hp2BmDPdntcQ,Travel & Events,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",20,UCBR8-60-B28hp2BmDPdntcQ,Gaming,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",21,UCBR8-60-B28hp2BmDPdntcQ,Videoblogging,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",22,UCBR8-60-B28hp2BmDPdntcQ,People & Blogs,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",23,UCBR8-60-B28hp2BmDPdntcQ,Comedy,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",24,UCBR8-60-B28hp2BmDPdntcQ,Entertainment,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",25,UCBR8-60-B28hp2BmDPdntcQ,News & Politics,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",26,UCBR8-60-B28hp2BmDPdntcQ,Howto & Style,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",27,UCBR8-60-B28hp2BmDPdntcQ,Education,True,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
